EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230405172002	16.74	0.91	-40.91	5.9	9.86	1	1	1	1
20230405172003	16.73	0.85	-41.56	5.9	9.83	1	1	1	1
20230405172004	16.74	0.87	-41.33	5.82	9.8	1	1	1	1
20230405172005	16.73	0.89	-41.12	5.85	9.83	1	1	1	1
20230405172006	16.73	0.89	-41.12	5.82	9.83	1	1	1	1
20230405172007	16.7	0.89	-41.14	5.8	9.83	1	1	1	1
20230405172008	16.72	0.85	-41.57	5.77	9.8	1	1	1	1
20230405172009	16.74	0.83	-41.78	5.77	9.77	1	1	1	1
20230405172010	16.72	0.89	-41.13	5.75	9.77	1	1	1	1
20230405172011	16.7	0.87	-41.36	5.77	9.74	1	1	1	1
20230405172013	16.7	0.87	-41.36	6.15	9.74	1	1	1	1
20230405172014	16.7	0.92	-40.83	6.64	9.89	1	1	1	1
20230405172015	16.7	0.89	-41.14	7.22	10.03	1	1	1	1
20230405172016	16.69	0.94	-40.63	7.84	10.29	1	1	1	1
20230405172017	16.73	0.89	-41.12	8.46	10.58	1	1	1	1
20230405172018	16.73	0.87	-41.34	9.11	10.93	1	1	1	1
20230405172019	16.72	0.91	-40.92	9.73	11.28	1	1	1	1
20230405172020	16.73	0.89	-41.12	10.36	11.63	1	1	1	1
20230405172021	16.77	0.91	-40.89	10.99	12.04	1	1	1	1
20230405172022	16.77	0.83	-41.76	11.62	12.45	1	1	1	1
20230405172024	16.8	0.89	-41.08	12.2	12.86	1	1	1	1
20230405172025	16.83	0.91	-40.85	12.81	13.27	1	1	1	1
20230405172026	16.84	0.86	-41.38	13.42	13.65	1	1	1	1
20230405172027	16.88	0.97	-40.21	14.01	14.07	1	1	1	1
20230405172028	16.97	0.93	-40.56	14.58	14.45	1	1	1	1
20230405172029	16.98	0.92	-40.66	15.15	14.87	1	1	1	1
20230405172030	17.01	0.88	-41.06	15.69	15.28	1	1	1	1
20230405172031	17.05	0.86	-41.26	16.22	15.67	1	1	1	1
20230405172032	17.1	0.88	-41.01	16.77	16.03	1	1	1	1
20230405172033	17.15	0.9	-40.76	17.27	16.42	1	1	1	1
20230405172034	17.17	0.9	-40.75	17.78	16.78	1	1	1	1
20230405172036	17.23	0.89	-40.82	18.26	17.12	1	1	1	1
20230405172037	17.27	0.96	-40.07	18.77	17.51	1	1	1	1
20230405172038	17.3	0.94	-40.26	19.24	17.85	1	1	1	1
20230405172039	17.41	0.97	-39.89	19.73	18.21	1	1	1	1
20230405172040	17.45	0.99	-39.67	20.2	18.55	1	1	1	1
20230405172041	17.51	0.99	-39.63	20.61	18.82	1	1	1	1
20230405172042	17.55	0.92	-40.31	21.14	19.22	1	1	1	1
20230405172043	17.61	0.95	-39.97	21.62	19.6	1	1	1	1
20230405172044	17.64	0.92	-40.26	22.13	19.91	1	1	1	1
20230405172045	17.69	0.96	-39.82	22.62	20.28	1	1	1	1
20230405172047	17.75	0.9	-40.4	23.11	20.59	1	1	1	1
20230405172048	17.8	0.98	-39.55	23.57	20.94	1	1	1	1
20230405172049	17.85	0.9	-40.34	24.01	21.25	1	1	1	1
20230405172050	17.95	0.94	-39.86	24.48	21.6	1	1	1	1
20230405172051	18.0	0.89	-40.36	24.93	21.92	1	1	1	1
20230405172052	18.06	0.97	-39.49	25.35	22.24	1	1	1	1
20230405172053	18.13	0.89	-40.28	25.81	22.53	1	1	1	1
20230405172054	18.15	0.97	-39.44	26.2	22.85	1	1	1	1
20230405172055	18.2	0.93	-39.81	26.6	23.14	1	1	1	1
20230405172056	18.29	0.96	-39.45	26.98	23.46	1	1	1	1
20230405172057	18.33	1.03	-38.74	27.38	23.72	1	1	1	1
20230405172058	18.37	0.98	-39.2	27.79	24.02	1	1	1	1
20230405172059	18.46	0.98	-39.15	28.17	24.28	1	1	1	1
20230405172101	18.47	1.0	-38.95	28.56	24.58	1	1	1	1
20230405172102	18.55	0.96	-39.29	28.94	24.84	1	1	1	1
20230405172103	18.6	0.97	-39.16	29.27	25.11	1	1	1	1
20230405172104	18.68	0.95	-39.32	29.63	25.41	1	1	1	1
20230405172105	18.8	0.99	-38.84	30.0	25.67	1	1	1	1
20230405172106	18.85	0.97	-39.01	30.33	25.94	1	1	1	1
20230405172107	18.92	1.01	-38.58	30.66	26.18	1	1	1	1
20230405172108	18.98	0.99	-38.73	31.0	26.38	1	1	1	1
20230405172109	19.02	1.0	-38.61	31.34	26.65	1	1	1	1
20230405172110	19.06	1.0	-38.59	31.69	26.96	1	1	1	1
20230405172111	19.11	1.06	-37.99	32.0	27.16	1	1	1	1
20230405172112	19.19	1.08	-37.75	32.35	27.47	1	1	1	1
20230405172113	19.25	1.0	-38.47	32.63	27.65	1	1	1	1
